year,score_mean,intenseness,winner
2017,90.60000000000001,0.48030906559569353,とろサーモン
2016,90.13333333333333,0.4029114820126905,銀シャリ
2015,89.96296296296295,0.5741108388985465,トレンディエンジェル
2010,90.15873015873017,0.27406527228459493,笑い飯
2009,89.65079365079364,0.29908582824533947,パンクブーブー
2008,89.34920634920634,0.37482075996745506,ＮＯＮ ＳＴＹＬＥ
2007,87.39682539682539,0.23604447261304098,サンドウィッチマン
2006,87.65079365079366,0.23362193373224205,チュートリアル
2005,86.98412698412699,0.18363211159441903,ブラックマヨネーズ
2004,87.79365079365078,0.23109387206456072,アンタッチャブル
2003,85.4920634920635,0.16790734071483362,フットボールアワー
2002,79.98412698412699,0.20137227201334743,ますだおかだ
2001,71.68999999999998,0.10663206977758906,中川家
